gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total_Score,Average_Score,Pass/Fail,Performance_Category
female,group B,bachelor's degree,standard,Not Completed,72,72,74,218,72.67,Pass,Good
female,group C,some college,standard,completed,69,90,88,247,82.33,Pass,Excellent
female,group B,master's degree,standard,Not Completed,90,95,93,278,92.67,Pass,Excellent
male,group A,associate's degree,free/reduced,Not Completed,47,57,44,148,49.33,Pass,Average
male,group C,some college,standard,Not Completed,76,78,75,229,76.33,Pass,Good
female,group B,associate's degree,standard,Not Completed,71,83,78,232,77.33,Pass,Good
female,group B,some college,standard,completed,88,95,92,275,91.67,Pass,Excellent
male,group B,some college,free/reduced,Not Completed,40,43,39,122,40.67,Fail,Average
male,group D,high school,free/reduced,completed,64,64,67,195,65,Pass,Good
female,group B,high school,free/reduced,Not Completed,38,60,50,148,49.33,Fail,Average
male,group C,associate's degree,standard,Not Completed,58,54,52,164,54.67,Pass,Average
male,group D,associate's degree,standard,Not Completed,40,52,43,135,45,Pass,Average
female,group B,high school,standard,Not Completed,65,81,73,219,73,Pass,Good
male,group A,some college,standard,completed,78,72,70,220,73.33,Pass,Good
female,group A,master's degree,standard,Not Completed,50,53,58,161,53.67,Pass,Average
female,group C,some high school,standard,Not Completed,69,75,78,222,74,Pass,Good
male,group C,high school,standard,Not Completed,88,89,86,263,87.67,Pass,Excellent
female,group B,some high school,free/reduced,Not Completed,18,32,28,78,26,Fail,Needs Improvement
male,group C,master's degree,free/reduced,completed,46,42,46,134,44.67,Pass,Average
female,group C,associate's degree,free/reduced,Not Completed,54,58,61,173,57.67,Pass,Average
male,group D,high school,standard,Not Completed,66,69,63,198,66,Pass,Good
female,group B,some college,free/reduced,completed,65,75,70,210,70,Pass,Good
male,group D,some college,standard,Not Completed,44,54,53,151,50.33,Pass,Average
female,group C,some high school,standard,Not Completed,69,73,73,215,71.67,Pass,Good
male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,75,Pass,Good
